codigo,localidad,url_xml
id34156,"Riberos de la Cueza",http://www.aemet.es/xml/municipios/localidad_34156.xml
id50007,"Aladrén",http://www.aemet.es/xml/municipios/localidad_50007.xml
id31009,Aibar/Oibar,http://www.aemet.es/xml/municipios/localidad_31009.xml
id12002,"Aín",http://www.aemet.es/xml/municipios/localidad_12002.xml
id28072,"Hoyo de Manzanares",http://www.aemet.es/xml/municipios/localidad_28072.xml
id25038,Aitona,http://www.aemet.es/xml/municipios/localidad_25038.xml
id41002,"Alanís",http://www.aemet.es/xml/municipios/localidad_41002.xml
id50238,"Santa Eulalia de Gállego",http://www.aemet.es/xml/municipios/localidad_50238.xml
id37004,"Ahigal de Villarino",http://www.aemet.es/xml/municipios/localidad_37004.xml
id46006,Albaida,http://www.aemet.es/xml/municipios/localidad_46006.xml
id26108,"Ocón",http://www.aemet.es/xml/municipios/localidad_26108.xml
id31008,"Aguilar de Codés",http://www.aemet.es/xml/municipios/localidad_31008.xml
id10002,Abertura,http://www.aemet.es/xml/municipios/localidad_10002.xml
id31091,Ergoiena,http://www.aemet.es/xml/municipios/localidad_31091.xml
id09064,Caleruega,http://www.aemet.es/xml/municipios/localidad_09064.xml
id08247,"Santa Eulàlia de Riuprimer",http://www.aemet.es/xml/municipios/localidad_08247.xml
id13004,Albaladejo,http://www.aemet.es/xml/municipios/localidad_13004.xml
id35001,Agaete,http://www.aemet.es/xml/municipios/localidad_35001.xml
id37191,"Milano, El",http://www.aemet.es/xml/municipios/localidad_37191.xml
id24120,Prioro,http://www.aemet.es/xml/municipios/localidad_24120.xml
id44002,Abejuela,http://www.aemet.es/xml/municipios/localidad_44002.xml
id44009,"Albarracín",http://www.aemet.es/xml/municipios/localidad_44009.xml
id46009,"Albalat dels Sorells",http://www.aemet.es/xml/municipios/localidad_46009.xml
id17003,"Albanyà",http://www.aemet.es/xml/municipios/localidad_17003.xml
id05005,Albornos,http://www.aemet.es/xml/municipios/localidad_05005.xml
id45188,"Villaluenga de la Sagra",http://www.aemet.es/xml/municipios/localidad_45188.xml
id15041,"Laracha, A",http://www.aemet.es/xml/municipios/localidad_15041.xml
id33068,Somiedo,http://www.aemet.es/xml/municipios/localidad_33068.xml
id44054,"Camarena de la Sierra",http://www.aemet.es/xml/municipios/localidad_44054.xml
id49136,"Muga de Sayago",http://www.aemet.es/xml/municipios/localidad_49136.xml
id22009,Albelda,http://www.aemet.es/xml/municipios/localidad_22009.xml
id28056,"Fresnedillas de la Oliva",http://www.aemet.es/xml/municipios/localidad_28056.xml
id26006,Alberite,http://www.aemet.es/xml/municipios/localidad_26006.xml
id01057,"Villabuena de Álava/Eskuernaga",http://www.aemet.es/xml/municipios/localidad_01057.xml
id05246,"Tórtoles",http://www.aemet.es/xml/municipios/localidad_05246.xml
id25007,"Albatàrrec",http://www.aemet.es/xml/municipios/localidad_25007.xml
id04006,Albox,http://www.aemet.es/xml/municipios/localidad_04006.xml
id02006,Alcadozo,http://www.aemet.es/xml/municipios/localidad_02006.xml
id12142,Zucaina,http://www.aemet.es/xml/municipios/localidad_12142.xml
id37348,"Ventosa del Río Almar",http://www.aemet.es/xml/municipios/localidad_37348.xml
id31203,"Petilla de Aragón",http://www.aemet.es/xml/municipios/localidad_31203.xml
id46007,Albal,http://www.aemet.es/xml/municipios/localidad_46007.xml
id34003,"Abia de las Torres",http://www.aemet.es/xml/municipios/localidad_34003.xml
id12053,Chilches/Xilxes,http://www.aemet.es/xml/municipios/localidad_12053.xml
id02004,Albatana,http://www.aemet.es/xml/municipios/localidad_02004.xml
id46012,Alborache,http://www.aemet.es/xml/municipios/localidad_46012.xml
id46013,Alboraya,http://www.aemet.es/xml/municipios/localidad_46013.xml
id19034,"Anquela del Pedregal",http://www.aemet.es/xml/municipios/localidad_19034.xml
id28010,Alpedrete,http://www.aemet.es/xml/municipios/localidad_28010.xml
id42166,"Santa Cruz de Yanguas",http://www.aemet.es/xml/municipios/localidad_42166.xml
id45003,"Albarreal de Tajo",http://www.aemet.es/xml/municipios/localidad_45003.xml
id31001,"Abáigar",http://www.aemet.es/xml/municipios/localidad_31001.xml
id28002,Ajalvir,http://www.aemet.es/xml/municipios/localidad_28002.xml
id04005,Alboloduy,http://www.aemet.es/xml/municipios/localidad_04005.xml
id34057,"Cevico de la Torre",http://www.aemet.es/xml/municipios/localidad_34057.xml
id46014,Albuixech,http://www.aemet.es/xml/municipios/localidad_46014.xml
id16173,"Valle de Altomira, el",http://www.aemet.es/xml/municipios/localidad_16173.xml
id50013,"Alcalá de Ebro",http://www.aemet.es/xml/municipios/localidad_50013.xml
id37007,Alaraz,http://www.aemet.es/xml/municipios/localidad_37007.xml
id17002,Aiguaviva,http://www.aemet.es/xml/municipios/localidad_17002.xml
id49003,"Alcañices",http://www.aemet.es/xml/municipios/localidad_49003.xml
id32034,"Gudiña, A",http://www.aemet.es/xml/municipios/localidad_32034.xml
id20004,Albiztur,http://www.aemet.es/xml/municipios/localidad_20004.xml
id19007,Albares,http://www.aemet.es/xml/municipios/localidad_19007.xml
id25010,"Alcanó",http://www.aemet.es/xml/municipios/localidad_25010.xml
id42100,"Hinojosa del Campo",http://www.aemet.es/xml/municipios/localidad_42100.xml
id45005,"Alcañizo",http://www.aemet.es/xml/municipios/localidad_45005.xml
id50286,"Villalba de Perejil",http://www.aemet.es/xml/municipios/localidad_50286.xml
id18005,"Albuñán",http://www.aemet.es/xml/municipios/localidad_18005.xml
id06153,"Villanueva de la Serena",http://www.aemet.es/xml/municipios/localidad_06153.xml
id13006,Alcoba,http://www.aemet.es/xml/municipios/localidad_13006.xml
id16006,Albendea,http://www.aemet.es/xml/municipios/localidad_16006.xml
id10199,"Valdehúncar",http://www.aemet.es/xml/municipios/localidad_10199.xml
id12134,"Vilar de Canes",http://www.aemet.es/xml/municipios/localidad_12134.xml
id07028,"Lloret de Vistalegre",http://www.aemet.es/xml/municipios/localidad_07028.xml
id44010,Albentosa,http://www.aemet.es/xml/municipios/localidad_44010.xml
id47005,"Alcazarén",http://www.aemet.es/xml/municipios/localidad_47005.xml
id16010,"Alcázar del Rey",http://www.aemet.es/xml/municipios/localidad_16010.xml
id19009,Alcocer,http://www.aemet.es/xml/municipios/localidad_19009.xml
id22226,Tardienta,http://www.aemet.es/xml/municipios/localidad_22226.xml
id37359,"Villar de la Yegua",http://www.aemet.es/xml/municipios/localidad_37359.xml
id13007,"Alcolea de Calatrava",http://www.aemet.es/xml/municipios/localidad_13007.xml
id48911,Ajangiz,http://www.aemet.es/xml/municipios/localidad_48911.xml
id28115,"Pozuelo de Alarcón",http://www.aemet.es/xml/municipios/localidad_28115.xml
id18180,"Trevélez",http://www.aemet.es/xml/municipios/localidad_18180.xml
id09063,Cavia,http://www.aemet.es/xml/municipios/localidad_09063.xml
id05151,"Navacepedilla de Corneja",http://www.aemet.es/xml/municipios/localidad_05151.xml
id16244,"Villagarcía del Llano",http://www.aemet.es/xml/municipios/localidad_16244.xml
id25171,"Pobla de Segur, La",http://www.aemet.es/xml/municipios/localidad_25171.xml
id14003,Alcaracejos,http://www.aemet.es/xml/municipios/localidad_14003.xml
id10008,"Alcántara",http://www.aemet.es/xml/municipios/localidad_10008.xml
id14020,Conquista,http://www.aemet.es/xml/municipios/localidad_14020.xml
id43005,Alcover,http://www.aemet.es/xml/municipios/localidad_43005.xml
id05259,"Villanueva del Aceral",http://www.aemet.es/xml/municipios/localidad_05259.xml
id04008,"Alcóntar",http://www.aemet.es/xml/municipios/localidad_04008.xml
id26018,Arnedo,http://www.aemet.es/xml/municipios/localidad_26018.xml
id49004,"Alcubilla de Nogales",http://www.aemet.es/xml/municipios/localidad_49004.xml
id45007,"Alcolea de Tajo",http://www.aemet.es/xml/municipios/localidad_45007.xml
id50015,"Alconchel de Ariza",http://www.aemet.es/xml/municipios/localidad_50015.xml
id46018,Alcublas,http://www.aemet.es/xml/municipios/localidad_46018.xml
id13003,Alamillo,http://www.aemet.es/xml/municipios/localidad_13003.xml
id15090,Vilasantar,http://www.aemet.es/xml/municipios/localidad_15090.xml
id49137,"Navianos de Valverde",http://www.aemet.es/xml/municipios/localidad_49137.xml
id02001,Abengibre,http://www.aemet.es/xml/municipios/localidad_02001.xml
id44014,Alcorisa,http://www.aemet.es/xml/municipios/localidad_44014.xml
